T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
0,0,100,100,100,100,100,100,'2021/8/31 8:29:59
0,0,100,100,100,100,100,100,'2021/8/31 8:30:03
0,0,100,100,100,100,100,100,'2021/8/31 8:30:09
0,0,100,100,100,100,100,100,'2021/8/31 8:30:13
0,0,100,100,100,100,100,100,'2021/8/31 8:30:19
0,0,100,100,100,100,100,100,'2021/8/31 8:30:23
0,0,100,100,100,100,100,100,'2021/8/31 8:30:30
0,0,100,100,100,100,100,100,'2021/8/31 8:30:34
0,0,100,100,100,100,100,100,'2021/8/31 8:30:40
0,0,100,100,100,100,100,100,'2021/8/31 8:30:44
0,0,100,100,100,100,100,100,'2021/8/31 8:30:50
0,0,100,100,100,100,100,100,'2021/8/31 8:30:54
0,0,100,100,100,100,100,100,'2021/8/31 8:31:00
0,0,100,100,100,100,100,100,'2021/8/31 8:31:04
0,0,100,100,100,100,100,100,'2021/8/31 8:31:10
0,0,100,100,100,100,100,100,'2021/8/31 8:31:14
0,0,100,100,100,100,100,100,'2021/8/31 8:31:20
0,0,100,100,100,100,100,100,'2021/8/31 8:31:24
0,0,100,100,100,100,100,100,'2021/8/31 8:31:30
0,0,100,100,100,100,100,100,'2021/8/31 8:31:34
0,0,100,100,100,100,100,100,'2021/8/31 8:31:40
0,0,100,100,100,100,100,100,'2021/8/31 8:31:44
0,0,100,100,100,100,100,100,'2021/8/31 8:31:50
0,0,100,100,100,100,100,100,'2021/8/31 8:31:54
0,0,100,100,100,100,100,100,'2021/8/31 8:32:00
0,0,100,100,100,100,100,100,'2021/8/31 8:32:04
0,0,100,100,100,100,100,100,'2021/8/31 8:32:10
0,0,100,100,100,100,100,100,'2021/8/31 8:32:14
0,0,100,100,100,100,100,100,'2021/8/31 8:32:20
0,0,100,100,100,100,100,100,'2021/8/31 8:32:24
0,0,100,100,100,100,100,100,'2021/8/31 8:32:30
0,0,100,100,100,100,100,100,'2021/8/31 8:32:34
0,0,100,100,100,100,100,100,'2021/8/31 8:32:40
0,0,100,100,100,100,100,100,'2021/8/31 8:32:44
0,0,100,100,100,100,100,100,'2021/8/31 8:32:50
0,0,100,100,100,100,100,100,'2021/8/31 8:32:54
0,0,100,100,100,100,100,100,'2021/8/31 8:33:00
0,0,100,100,100,100,100,100,'2021/8/31 8:33:04
0,0,100,100,100,100,100,100,'2021/8/31 8:33:10
0,0,100,100,100,100,100,100,'2021/8/31 8:33:14
0,0,100,100,100,100,100,100,'2021/8/31 8:33:20
0,0,100,100,100,100,100,100,'2021/8/31 8:33:24
0,0,100,100,100,100,100,100,'2021/8/31 8:33:30
0,0,100,100,100,100,100,100,'2021/8/31 8:33:34
0,0,100,100,100,100,100,100,'2021/8/31 8:33:40
0,0,100,100,100,100,100,100,'2021/8/31 8:33:44
0,0,100,100,100,100,100,100,'2021/8/31 8:33:50
0,0,100,100,100,100,100,100,'2021/8/31 8:33:54
0,0,100,100,100,100,100,100,'2021/8/31 8:34:00
0,0,100,100,100,100,100,100,'2021/8/31 8:34:04
0,0,100,100,100,100,100,100,'2021/8/31 8:34:10
0,0,100,100,100,100,100,100,'2021/8/31 8:34:14
0,0,100,100,100,100,100,100,'2021/8/31 8:34:20
0,0,100,100,100,100,100,100,'2021/8/31 8:34:24
0,0,100,100,100,100,100,100,'2021/8/31 8:34:30
0,0,100,100,100,100,100,100,'2021/8/31 8:34:35
0,0,100,100,100,100,100,100,'2021/8/31 8:34:41
0,0,100,100,100,100,100,100,'2021/8/31 8:34:45
0,0,100,100,100,100,100,100,'2021/8/31 8:34:51
0,0,100,100,100,100,100,100,'2021/8/31 8:34:55
0,0,100,100,100,100,100,100,'2021/8/31 8:35:01
0,0,100,100,100,100,100,100,'2021/8/31 8:35:15
0,0,100,100,100,100,100,100,'2021/8/31 8:35:19
0,0,100,100,100,100,100,100,'2021/8/31 8:35:23
0,0,100,100,100,100,100,100,'2021/8/31 8:35:27
0,0,100,100,100,100,100,100,'2021/8/31 8:35:31
0,0,100,100,100,100,100,100,'2021/8/31 8:35:35
0,0,100,100,100,100,100,100,'2021/8/31 8:35:59
0,0,100,100,100,100,100,100,'2021/8/31 8:36:03
0,0,100,100,100,100,100,100,'2021/8/31 8:36:07
0,0,100,100,100,100,100,100,'2021/8/31 8:36:11
0,0,100,100,100,100,100,100,'2021/8/31 8:36:15
0,0,100,100,100,100,100,100,'2021/8/31 8:36:19
0,0,100,100,100,100,100,100,'2021/8/31 8:36:23
0,0,100,100,100,100,100,100,'2021/8/31 8:36:27
