T1,T2,RH,time
19.95,17.66,79.21,'2021/12/9 9:22:42
19.98,17.62,79.55,'2021/12/9 9:22:43
19.99,17.66,79.94,'2021/12/9 9:22:44
19.99,17.66,79.77,'2021/12/9 9:22:45
19.95,17.66,79.75,'2021/12/9 9:22:46
19.96,17.62,79.75,'2021/12/9 9:22:48
19.95,17.62,79.62,'2021/12/9 9:22:49
19.98,17.62,79.77,'2021/12/9 9:22:50
19.99,17.63,80.03,'2021/12/9 9:22:51
19.99,17.65,79.22,'2021/12/9 9:22:52
19.99,17.62,79.49,'2021/12/9 9:22:53
19.99,17.62,79.28,'2021/12/9 9:22:54
19.99,17.62,79.49,'2021/12/9 9:22:55
19.95,17.62,79.8,'2021/12/9 9:22:56
19.99,17.59,79.77,'2021/12/9 9:22:57
19.96,17.62,79.49,'2021/12/9 9:22:58
19.99,17.62,79.49,'2021/12/9 9:22:59
19.99,17.62,79.49,'2021/12/9 9:23:00
19.95,17.62,79.77,'2021/12/9 9:23:01
19.99,17.59,79.77,'2021/12/9 9:23:02
19.99,17.62,79.49,'2021/12/9 9:23:03
19.99,17.62,79.86,'2021/12/9 9:23:04
19.96,17.59,79.4,'2021/12/9 9:23:05
19.99,17.62,79.66,'2021/12/9 9:23:06
20.02,17.61,79.67,'2021/12/9 9:23:07
19.99,17.62,79.49,'2021/12/9 9:23:08
19.99,17.62,78.95,'2021/12/9 9:23:09
19.99,17.62,79.49,'2021/12/9 9:23:10
20.02,17.59,79.49,'2021/12/9 9:23:11
20.02,17.59,79.34,'2021/12/9 9:23:12
19.99,17.59,79.21,'2021/12/9 9:23:13
19.95,17.62,79.75,'2021/12/9 9:23:14
19.98,17.62,79.51,'2021/12/9 9:23:15
19.99,17.59,79.49,'2021/12/9 9:23:16
19.95,17.61,79.49,'2021/12/9 9:23:17
19.96,17.59,78.99,'2021/12/9 9:23:18
19.99,17.62,79.98,'2021/12/9 9:23:19
19.99,17.62,79.39,'2021/12/9 9:23:20
19.99,17.62,79.21,'2021/12/9 9:23:21
20.01,17.62,79.62,'2021/12/9 9:23:22
20.02,17.59,79.36,'2021/12/9 9:23:23
19.99,17.59,79.7,'2021/12/9 9:23:24
20.02,17.62,79.49,'2021/12/9 9:23:25
20.02,17.62,79.12,'2021/12/9 9:23:26
19.99,17.62,79.49,'2021/12/9 9:23:27
19.99,17.59,79.04,'2021/12/9 9:23:30
19.99,17.62,78.86,'2021/12/9 9:23:30
19.99,17.59,79.21,'2021/12/9 9:23:30
19.95,17.59,78.76,'2021/12/9 9:23:31
19.99,17.62,78.95,'2021/12/9 9:23:32
20.02,17.62,79.3,'2021/12/9 9:23:33
19.99,17.59,79.07,'2021/12/9 9:23:34
19.99,17.59,79.77,'2021/12/9 9:23:35
19.95,17.59,79.45,'2021/12/9 9:23:36
20.01,17.59,79.25,'2021/12/9 9:23:37
